ZM 1 reOhms X,ZM 1 reOhms Y
100000000,68.22325893956832
110000000,68.21403572549083
120000000,68.20690130477522
130000000,68.20122860645954
140000000,68.19660620127395
150000000,68.19275416300101
160000000,68.18947816446136
170000000,68.18663920529146
180000000,68.18413523786953
190000000,68.18189081413091
200000000,68.17984861269363
210000000,68.17796488991469
220000000,68.17620532791453
230000000,68.10952755707068
240000000,68.17295660768139
250000000,68.17142873562712
260000000,68.16994560222355
270000000,68.16849565198889
280000000,68.16706939737446
290000000,68.11408369075507
300000000,68.164258076685
310000000,68.16286090144401
320000000,68.16146292082544
330000000,68.16006006195452
340000000,68.15864901502268
350000000,68.15722678183964
360000000,68.15579086552552
370000000,68.07350465918888
380000000,68.15286953387051
390000000,68.15138049489273
400000000,68.14987056362615
410000000,68.07537563500146
420000000,68.14678290108871
430000000,68.14520302493582
440000000,68.14359789870163
450000000,68.07547622149409
460000000,68.07526043639686
470000000,68.13862333243999
480000000,68.13690991881523
490000000,68.13516798722206
500000000,68.13339704228206
510000000,68.13159667699043
520000000,68.12976649814154
530000000,68.12790614346353
540000000,68.12601529488425
550000000,68.12409364594404
560000000,68.1221409338542
570000000,68.06763182999096
580000000,68.06651906230502
590000000,68.11609399537927
600000000,68.11401471612835
610000000,68.06281169986414
620000000,68.10975955833915
630000000,68.10758335343959
640000000,68.10537453188074
650000000,68.10313297174034
660000000,68.10085852253199
670000000,68.09855106208707
680000000,68.0962104890725
690000000,68.09383669475508
700000000,68.09142957277516
710000000,68.08898901600212
720000000,68.0865149478479
730000000,68.08400728384937
740000000,68.00050597943905
750000000,68.07889080365663
760000000,68.0762818455954
770000000,68.07363896373614
780000000,68.07096210487428
790000000,68.06825119808984
800000000,68.06550617214197
810000000,68.06272697327684
820000000,67.98681039276354
830000000,68.05706580792253
840000000,68.05418371954975
850000000,68.05126723234241
860000000,68.04831628702506
870000000,68.04533082659458
880000000,68.04231080651148
890000000,68.03925617670569
900000000,67.96952150427499
910000000,68.03304288323983
920000000,67.96467733933231
930000000,68.0266905792337
940000000,68.02346218828635
950000000,68.02019890931213
960000000,68.01690069355561
970000000,67.95169697857978
980000000,68.01019930178488
990000000,68.00679603750368
1000000000,68.0033576751631
1010000000,67.9998841709903
1020000000,67.99637549102772
1030000000,67.99283158541481
1040000000,67.98925241786009
1050000000,67.92844269723727
1060000000,67.98198814844784
1070000000,67.97830296121113
1080000000,67.97458235772203
1090000000,67.97082629976232
1100000000,67.96703474903416
1110000000,67.96320766049983
1120000000,67.95934500240666
1130000000,67.95544673749303
1140000000,67.8987902930434
1150000000,67.89527427643478
1160000000,67.89171468317701
1170000000,67.93949682920749
1180000000,67.93541995097176
1190000000,67.88077603788049
1200000000,67.92715865732248
1210000000,67.92297416141209
1220000000,67.8694507001136
1230000000,67.91449729497992
1240000000,67.91020484786749
1250000000,67.90587634004159
1260000000,67.90151173672463
1270000000,67.89711099444249
1280000000,67.89267408767653
1290000000,67.84154043027387
1300000000,67.88369160085304
1310000000,67.87914595061835
1320000000,67.87456397908041
1330000000,67.86994564636045
1340000000,67.86529091900167
1350000000,67.8159848949787
1360000000,67.85587212097472
1370000000,67.85110797709109
1380000000,67.84630728255662
1390000000,67.84147000363738
1400000000,67.83659610407349
1410000000,67.83168553797464
1420000000,67.82673827416851
1430000000,67.82175427201653
1440000000,67.81673349618495
1450000000,67.8116759038387
1460000000,67.8065814583088
1470000000,67.80145012288365
1480000000,67.7148093504814
1490000000,67.79107662647338
1500000000,67.78583438713125
1510000000,67.78055510447992
1520000000,67.77523873726415
1530000000,67.76988524806137
1540000000,67.76449459745704
1550000000,67.75906674687
1560000000,67.75360165622087
1570000000,67.74809929068496
1580000000,67.74255960680773
1590000000,67.73698256576606
1600000000,67.73136813163293
1610000000,67.72571626254934
1620000000,67.72002691946099
1630000000,67.71430006372717
1640000000,67.63486518945655
1650000000,67.70273365422771
1660000000,67.6968940237805
1670000000,67.69101672305435
1680000000,67.68510171025309
1690000000,67.6791489494355
1700000000,67.67315839782816
1710000000,67.66713001707394
1720000000,67.66106376688052
1730000000,67.65495960809974
1740000000,67.64881750177344
1750000000,67.57349639131685
1760000000,67.63641928106323
1770000000,67.63016308877651
1780000000,67.62386878907975
1790000000,67.61753633954369
1800000000,67.54389870604427
1810000000,67.60475683595328
1820000000,67.59830970140924
1830000000,67.59182425953847
1840000000,67.51945855440525
1850000000,67.57873828681741
1860000000,67.57213767776918
1870000000,67.56549860045429
1880000000,67.55882101207513
1890000000,67.55210487439408
1900000000,67.54535014719664
1910000000,67.53855678983665
1920000000,67.53172476361807
1930000000,67.52485402611174
1940000000,67.45540528358973
1950000000,67.44876840917922
1960000000,67.50400915015247
1970000000,67.49698316978782
1980000000,67.48991827740582
1990000000,67.42180049682918
2000000000,67.47567159896577
2010000000,67.46848973240482
2020000000,67.46126879373863
2030000000,67.45400874258749
2040000000,67.44670954043818
2050000000,67.43937114611289
2060000000,67.43199351867331
2070000000,67.42457662061413
2080000000,67.41712041019386
2090000000,67.40962484706776
2100000000,67.34417257430074
2110000000,67.39451550637966
2120000000,67.38690164910216
2130000000,67.37924828070666
2140000000,67.37155536079877
2150000000,67.36382285086081
2160000000,67.35605071106929
2170000000,67.34823890165467
2180000000,67.34038738156248
2190000000,67.33249611533387
2200000000,67.32456506042479
2210000000,67.26146079021434
2220000000,67.30858342928586
2230000000,67.300532774495
2240000000,67.29244217642506
2250000000,67.28431159371335
2260000000,67.27614098877854
2270000000,67.26793032256816
2280000000,67.2061756845645
2290000000,67.19810929579494
2300000000,67.19000074242717
2310000000,67.23468627025612
2320000000,67.17365709316442
2330000000,67.21782287227393
2340000000,67.20933069631756
2350000000,67.14882506141467
2360000000,67.19222519902951
2370000000,67.18361180205447
2380000000,67.12361282015523
2390000000,67.16626352368596
2400000000,67.15752856629673
2410000000,67.14875301261665
2420000000,67.13993682757919
2430000000,67.08074641194891
2440000000,67.07204608785216
2450000000,67.11324410329148
2460000000,67.1042650166323
2470000000,67.09524511183947
2480000000,67.08618435318574
2490000000,67.0770827042754
2500000000,67.06794012831708
2510000000,67.05875658935626
2520000000,67.04953205145159
2530000000,67.04026647873158
2540000000,67.03095983515406
2550000000,67.02161208572558
2560000000,67.01222319519528
2570000000,67.00279312700859
2580000000,66.94578317388734
2590000000,66.98380932012502
2600000000,66.97425551137368
2610000000,66.96466038675038
2620000000,66.95502391069842
2630000000,66.94534605003849
2640000000,66.93562677034178
2650000000,66.92586603749366
2660000000,66.91606381700853
2670000000,66.90622007711869
2680000000,66.89633478261132
2690000000,66.88640790085881
2700000000,66.83090848738634
2710000000,66.86642924518394
2720000000,66.85637740472906
2730000000,66.80122668192958
2740000000,66.83614853805361
2750000000,66.82597144687335
2760000000,66.81575254189489
2770000000,66.80549179108097
