Freq(Hz),S11_real,S11_imag,S21_real,S21_imag,S12_real,S12_imag,S22_real,S22_imag
1,2.47e+10,0.714342,-0.43817,0.0250658,0.0685865,0.0250658,0.0685865,0.955509,-0.164244
1,2.48e+10,0.713404,-0.439631,0.0252555,0.0688082,0.0252555,0.0688082,0.955368,-0.164844
1,2.49e+10,0.712465,-0.441093,0.0254459,0.0690296,0.0254459,0.0690296,0.955227,-0.165445
1,2.5e+10,0.711523,-0.442555,0.025637,0.0692506,0.025637,0.0692506,0.955086,-0.166046
1,2.51e+10,0.71058,-0.444018,0.0258287,0.0694714,0.0258287,0.0694714,0.954945,-0.166646
1,2.52e+10,0.709634,-0.44548,0.026021,0.0696918,0.026021,0.0696918,0.954804,-0.167247
1,2.53e+10,0.708687,-0.446943,0.026214,0.0699119,0.026214,0.0699119,0.954662,-0.167849
1,2.54e+10,0.707739,-0.448406,0.0264076,0.0701317,0.0264076,0.0701317,0.954521,-0.16845
1,2.55e+10,0.706788,-0.449869,0.0266018,0.0703511,0.0266018,0.0703511,0.95438,-0.169051
1,2.56e+10,0.705836,-0.451333,0.0267968,0.0705702,0.0267968,0.0705702,0.954239,-0.169653
1,2.57e+10,0.704882,-0.452796,0.0269923,0.070789,0.0269923,0.070789,0.954098,-0.170254
1,2.58e+10,0.703926,-0.454259,0.0271885,0.0710075,0.0271885,0.0710075,0.953957,-0.170856
1,2.59e+10,0.702969,-0.455723,0.0273853,0.0712257,0.0273853,0.0712257,0.953816,-0.171458
1,2.6e+10,0.70201,-0.457186,0.0275828,0.0714435,0.0275828,0.0714435,0.953675,-0.17206
1,2.61e+10,0.70105,-0.45865,0.0277809,0.0716611,0.0277809,0.0716611,0.953534,-0.172662
1,2.62e+10,0.700088,-0.460113,0.0279796,0.0718783,0.0279796,0.0718783,0.953394,-0.173264
1,2.63e+10,0.699125,-0.461577,0.0281791,0.0720952,0.0281791,0.0720952,0.953253,-0.173866
1,2.64e+10,0.69816,-0.46304,0.0283791,0.0723118,0.0283791,0.0723118,0.953112,-0.174468
1,2.65e+10,0.697194,-0.464503,0.0285798,0.072528,0.0285798,0.072528,0.952971,-0.17507
1,2.66e+10,0.696227,-0.465966,0.0287812,0.072744,0.0287812,0.072744,0.952831,-0.175673
1,2.67e+10,0.695258,-0.467429,0.0289832,0.0729596,0.0289832,0.0729596,0.95269,-0.176275
1,2.68e+10,0.694288,-0.468892,0.0291858,0.073175,0.0291858,0.073175,0.95255,-0.176877
1,2.69e+10,0.693317,-0.470354,0.0293891,0.07339,0.0293891,0.07339,0.952409,-0.177479
1,2.7e+10,0.692344,-0.471816,0.0295931,0.0736047,0.0295931,0.0736047,0.952269,-0.178082
1,2.71e+10,0.691371,-0.473278,0.0297977,0.0738191,0.0297977,0.0738191,0.952128,-0.178684
1,2.72e+10,0.690396,-0.474739,0.0300029,0.0740332,0.0300029,0.0740332,0.951988,-0.179286
1,2.73e+10,0.68942,-0.4762,0.0302088,0.074247,0.0302088,0.074247,0.951848,-0.179888
1,2.74e+10,0.688443,-0.477661,0.0304153,0.0744604,0.0304153,0.0744604,0.951708,-0.18049
1,2.75e+10,0.687466,-0.479121,0.0306225,0.0746736,0.0306225,0.0746736,0.951567,-0.181092
1,2.76e+10,0.686487,-0.480581,0.0308303,0.0748865,0.0308303,0.0748865,0.951427,-0.181694
1,2.77e+10,0.685507,-0.48204,0.0310388,0.0750991,0.0310388,0.0750991,0.951287,-0.182296
1,2.78e+10,0.684527,-0.483498,0.0312479,0.0753113,0.0312479,0.0753113,0.951148,-0.182898
1,2.79e+10,0.683545,-0.484956,0.0314577,0.0755233,0.0314577,0.0755233,0.951008,-0.1835
1,2.8e+10,0.682563,-0.486413,0.0316681,0.075735,0.0316681,0.075735,0.950868,-0.184102
1,2.81e+10,0.681581,-0.48787,0.0318791,0.0759464,0.0318791,0.0759464,0.950729,-0.184703
1,2.82e+10,0.680597,-0.489326,0.0320908,0.0761574,0.0320908,0.0761574,0.950589,-0.185304
1,2.83e+10,0.679613,-0.490781,0.0323032,0.0763682,0.0323032,0.0763682,0.95045,-0.185906
1,2.84e+10,0.678628,-0.492235,0.0325161,0.0765787,0.0325161,0.0765787,0.950311,-0.186506
1,2.85e+10,0.677643,-0.493689,0.0327297,0.0767889,0.0327297,0.0767889,0.950171,-0.187107
1,2.86e+10,0.676657,-0.495142,0.032944,0.0769988,0.032944,0.0769988,0.950032,-0.187708
1,2.87e+10,0.675671,-0.496593,0.0331589,0.0772085,0.0331589,0.0772085,0.949894,-0.188308
1,2.88e+10,0.674684,-0.498044,0.0333744,0.0774178,0.0333744,0.0774178,0.949755,-0.188909
1,2.89e+10,0.673697,-0.499493,0.0335905,0.0776268,0.0335905,0.0776268,0.949616,-0.189509
1,2.9e+10,0.67271,-0.500942,0.0338073,0.0778356,0.0338073,0.0778356,0.949478,-0.190108
1,2.91e+10,0.671722,-0.50239,0.0340247,0.0780441,0.0340247,0.0780441,0.949339,-0.190708
1,2.92e+10,0.670735,-0.503836,0.0342427,0.0782523,0.0342427,0.0782523,0.949201,-0.191307
1,2.93e+10,0.669747,-0.505281,0.0344614,0.0784603,0.0344614,0.0784603,0.949063,-0.191906
1,2.94e+10,0.668759,-0.506725,0.0346807,0.0786679,0.0346807,0.0786679,0.948925,-0.192505
1,2.95e+10,0.667771,-0.508168,0.0349006,0.0788753,0.0349006,0.0788753,0.948787,-0.193103
1,2.96e+10,0.666783,-0.509609,0.0351211,0.0790824,0.0351211,0.0790824,0.948649,-0.193701
1,2.97e+10,0.665795,-0.511049,0.0353422,0.0792893,0.0353422,0.0792893,0.948512,-0.194299
1,2.98e+10,0.664807,-0.512487,0.035564,0.0794959,0.035564,0.0794959,0.948374,-0.194896
1,2.99e+10,0.66382,-0.513924,0.0357864,0.0797022,0.0357864,0.0797022,0.948237,-0.195493
1,3e+10,0.662832,-0.51536,0.0360093,0.0799083,0.0360093,0.0799083,0.9481,-0.196089
