Freq(Hz),S11_real,S11_imag,S21_real,S21_imag,S12_real,S12_imag,S22_real,S22_imag
1,4.8e+09,0.880291,-0.164932,-0.00386545,0.0152462,-0.00386545,0.0152462,0.988956,-0.0449429
1,4.9e+09,0.878574,-0.16616,-0.00379294,0.0156495,-0.00379294,0.0156495,0.988656,-0.0456755
1,5e+09,0.87691,-0.167375,-0.00371544,0.0160493,-0.00371544,0.0160493,0.988359,-0.0464013
1,5.1e+09,0.875297,-0.168579,-0.00363326,0.0164456,-0.00363326,0.0164456,0.988064,-0.0471205
1,5.2e+09,0.873733,-0.169772,-0.0035467,0.0168382,-0.0035467,0.0168382,0.987772,-0.0478333
1,5.3e+09,0.872216,-0.170958,-0.00345607,0.0172272,-0.00345607,0.0172272,0.987482,-0.0485399
1,5.4e+09,0.870744,-0.172137,-0.00336162,0.0176126,-0.00336162,0.0176126,0.987194,-0.0492405
1,5.5e+09,0.869315,-0.17331,-0.00326363,0.0179944,-0.00326363,0.0179944,0.986909,-0.0499353
1,5.6e+09,0.867927,-0.174478,-0.00316235,0.0183725,-0.00316235,0.0183725,0.986626,-0.0506245
1,5.7e+09,0.866578,-0.175643,-0.00305802,0.0187471,-0.00305802,0.0187471,0.986347,-0.0513082
1,5.8e+09,0.865266,-0.176805,-0.00295086,0.0191182,-0.00295086,0.0191182,0.986069,-0.0519868
1,5.9e+09,0.863989,-0.177966,-0.00284109,0.0194858,-0.00284109,0.0194858,0.985795,-0.0526604
1,6e+09,0.862745,-0.179125,-0.00272892,0.0198499,-0.00272892,0.0198499,0.985523,-0.0533291
1,6.1e+09,0.861534,-0.180285,-0.00261453,0.0202107,-0.00261453,0.0202107,0.985254,-0.0539933
1,6.2e+09,0.860352,-0.181444,-0.00249812,0.0205682,-0.00249812,0.0205682,0.984987,-0.0546529
1,6.3e+09,0.859199,-0.182605,-0.00237985,0.0209224,-0.00237985,0.0209224,0.984724,-0.0553084
1,6.4e+09,0.858073,-0.183766,-0.00225989,0.0212734,-0.00225989,0.0212734,0.984463,-0.0559598
1,6.5e+09,0.856973,-0.18493,-0.00213839,0.0216214,-0.00213839,0.0216214,0.984204,-0.0566073
1,6.6e+09,0.855896,-0.186096,-0.00201549,0.0219663,-0.00201549,0.0219663,0.983948,-0.0572512
1,6.7e+09,0.854842,-0.187266,-0.00189134,0.0223082,-0.00189134,0.0223082,0.983695,-0.0578916
1,6.8e+09,0.853809,-0.188438,-0.00176605,0.0226473,-0.00176605,0.0226473,0.983445,-0.0585286
1,6.9e+09,0.852796,-0.189614,-0.00163975,0.0229836,-0.00163975,0.0229836,0.983197,-0.0591626
1,7e+09,0.851801,-0.190794,-0.00151255,0.0233172,-0.00151255,0.0233172,0.982951,-0.0597936
1,7.1e+09,0.850823,-0.191978,-0.00138456,0.0236482,-0.00138456,0.0236482,0.982708,-0.0604218
1,7.2e+09,0.849862,-0.193166,-0.00125587,0.0239766,-0.00125587,0.0239766,0.982468,-0.0610475
1,7.3e+09,0.848914,-0.19436,-0.00112657,0.0243025,-0.00112657,0.0243025,0.982229,-0.0616707
1,7.4e+09,0.847981,-0.195558,-0.000996756,0.0246261,-0.000996756,0.0246261,0.981993,-0.0622918
1,7.5e+09,0.84706,-0.196763,-0.000866502,0.0249473,-0.000866502,0.0249473,0.98176,-0.0629108
1,7.6e+09,0.84615,-0.197972,-0.000735883,0.0252663,-0.000735883,0.0252663,0.981528,-0.0635279
1,7.7e+09,0.84525,-0.199188,-0.000604956,0.0255832,-0.000604956,0.0255832,0.981299,-0.0641433
1,7.8e+09,0.84436,-0.200409,-0.00047375,0.0258979,-0.00047375,0.0258979,0.981071,-0.0647571
1,7.9e+09,0.84348,-0.201637,-0.000342291,0.0262107,-0.000342291,0.0262107,0.980846,-0.0653693
1,8e+09,0.84261,-0.20287,-0.000210601,0.0265214,-0.000210601,0.0265214,0.980623,-0.0659799
1,8.1e+09,0.841748,-0.204108,-7.8701e-05,0.0268302,-7.8701e-05,0.0268302,0.980402,-0.0665891
1,8.2e+09,0.840895,-0.205353,5.33892e-05,0.0271372,5.33892e-05,0.0271372,0.980183,-0.067197
1,8.3e+09,0.840051,-0.206602,0.000185652,0.0274424,0.000185652,0.0274424,0.979966,-0.0678035
1,8.4e+09,0.839214,-0.207858,0.000318073,0.0277458,0.000318073,0.0277458,0.979752,-0.0684087
1,8.5e+09,0.838386,-0.209118,0.000450636,0.0280475,0.000450636,0.0280475,0.979539,-0.0690127
1,8.6e+09,0.837566,-0.210384,0.000583328,0.0283475,0.000583328,0.0283475,0.979328,-0.0696155
1,8.7e+09,0.836753,-0.211656,0.000716138,0.0286459,0.000716138,0.0286459,0.97912,-0.0702172
1,8.8e+09,0.835947,-0.212932,0.000849056,0.0289428,0.000849056,0.0289428,0.978913,-0.0708178
1,8.9e+09,0.835148,-0.214214,0.000982072,0.0292381,0.000982072,0.0292381,0.978708,-0.0714174
1,9e+09,0.834356,-0.215501,0.00111518,0.029532,0.00111518,0.029532,0.978505,-0.0720161
1,9.1e+09,0.833571,-0.216792,0.00124836,0.0298244,0.00124836,0.0298244,0.978305,-0.0726138
1,9.2e+09,0.832792,-0.218089,0.00138163,0.0301154,0.00138163,0.0301154,0.978106,-0.0732106
1,9.3e+09,0.83202,-0.21939,0.00151497,0.0304051,0.00151497,0.0304051,0.977909,-0.0738066
